10000	0.0	5.0	3.0	1.0	
20000	2.0	3.0	3.0	1.0	
30000	3.0	4.0	5.0	1.0	
40000	7.0	6.0	7.0	1.0	
50000	4.0	6.0	6.0	9.0	
60000	5.0	6.0	6.0	2.0	
70000	6.0	5.0	6.0	2.0	
80000	4.0	5.0	7.0	2.0	
90000	5.0	6.0	10.0	3.0	
100000	9.0	10.0	7.0	4.0	
110000	10.0	9.0	9.0	4.0	
120000	5.0	7.0	7.0	4.0	
130000	13.0	14.0	14.0	5.0	
140000	11.0	12.0	13.0	4.0	
150000	16.0	17.0	18.0	6.0	
160000	14.0	14.0	13.0	5.0	
170000	17.0	19.0	16.0	10.0	
180000	19.0	21.0	20.0	9.0	
190000	17.0	16.0	16.0	6.0	
200000	21.0	22.0	23.0	7.0	
210000	17.0	17.0	18.0	6.0	
220000	23.0	24.0	21.0	9.0	
230000	35.0	39.0	36.0	10.0	
240000	33.0	36.0	33.0	4.0	
250000	12.0	32.0	30.0	5.0	
260000	43.0	48.0	46.0	6.0	
270000	51.0	53.0	50.0	5.0	
280000	45.0	47.0	39.0	5.0	
290000	54.0	52.0	53.0	9.0	
300000	37.0	44.0	43.0	6.0	
310000	63.0	64.0	59.0	8.0	
320000	46.0	49.0	42.0	5.0	
330000	61.0	63.0	58.0	6.0	
340000	59.0	65.0	62.0	10.0	
350000	54.0	55.0	49.0	8.0	
360000	55.0	56.0	50.0	6.0	
370000	55.0	56.0	48.0	16.0	
380000	66.0	73.0	71.0	9.0	
390000	74.0	76.0	71.0	6.0	
400000	71.0	74.0	71.0	13.0	
410000	78.0	81.0	77.0	9.0	
420000	77.0	80.0	78.0	8.0	
430000	73.0	76.0	72.0	7.0	
440000	51.0	62.0	60.0	11.0	
450000	69.0	70.0	59.0	16.0	
460000	81.0	85.0	82.0	8.0	
470000	87.0	90.0	86.0	16.0	
480000	78.0	91.0	88.0	17.0	
490000	82.0	89.0	86.0	12.0	
500000	59.0	72.0	66.0	12.0	
510000	84.0	90.0	87.0	11.0	
520000	78.0	79.0	71.0	11.0	
530000	100.0	108.0	104.0	22.0	
540000	88.0	100.0	93.0	9.0	
550000	69.0	74.0	71.0	11.0	
560000	104.0	107.0	99.0	13.0	
570000	98.0	106.0	102.0	10.0	
580000	69.0	86.0	83.0	13.0	
590000	83.0	88.0	78.0	10.0	
600000	100.0	113.0	110.0	22.0	
610000	104.0	110.0	106.0	13.0	
620000	56.0	87.0	85.0	12.0	
630000	120.0	122.0	111.0	13.0	
640000	114.0	116.0	111.0	21.0	
650000	88.0	99.0	96.0	13.0	
660000	96.0	112.0	106.0	15.0	
670000	125.0	127.0	117.0	11.0	
680000	112.0	120.0	115.0	11.0	
690000	102.0	102.0	89.0	15.0	
700000	74.0	70.0	70.0	49.0	
710000	67.0	65.0	55.0	42.0	
720000	78.0	75.0	65.0	46.0	
730000	78.0	65.0	75.0	38.0	
740000	76.0	79.0	78.0	23.0	
750000	79.0	70.0	74.0	57.0	
760000	89.0	86.0	86.0	45.0	
770000	84.0	81.0	60.0	51.0	
780000	72.0	70.0	56.0	55.0	
790000	89.0	86.0	78.0	51.0	
800000	77.0	75.0	80.0	21.0	
810000	85.0	90.0	91.0	24.0	
820000	94.0	94.0	84.0	40.0	
830000	95.0	95.0	79.0	53.0	
840000	99.0	75.0	97.0	53.0	
850000	95.0	85.0	91.0	62.0	
860000	86.0	75.0	83.0	62.0	
870000	89.0	86.0	80.0	47.0	
880000	106.0	102.0	88.0	61.0	
890000	89.0	83.0	78.0	50.0	
900000	88.0	81.0	76.0	50.0	
910000	94.0	90.0	76.0	60.0	
920000	117.0	109.0	114.0	56.0	
930000	98.0	93.0	92.0	89.0	
940000	106.0	106.0	101.0	32.0	
950000	95.0	83.0	88.0	56.0	
960000	129.0	121.0	102.0	82.0	
970000	124.0	109.0	118.0	68.0	
980000	105.0	87.0	99.0	69.0	
990000	131.0	123.0	124.0	82.0	
1000000	121.0	117.0	104.0	66.0	
